provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
1925. flowers visited,,visits flowers of,http://purl.obolibrary.org/obo/RO_0002622
aassociated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
accociated species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
accociated taxa,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
accoc. spp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
accompanying plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
accosiated sp.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
accosiated vegetation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
alimentación en,,eats,http://purl.obolibrary.org/obo/RO_0002470
alimentación y percha en,,eats,http://purl.obolibrary.org/obo/RO_0002470
aliméntandose de,,eats,http://purl.obolibrary.org/obo/RO_0002470
alimentandose en,,eats,http://purl.obolibrary.org/obo/RO_0002470
also collected here,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also collected nearby,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also collected or seen nearby,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also flowering,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also here,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also in area,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also present at site,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also seen or collected here,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
also seen or collected nearby,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
aociado con,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
aqssociated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
ascociada,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
asociada a,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506
