provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id,,,
1,,ignore,,,,no idea
270,,ignore,,,,
1958,,ignore,,,,
1993,,ignore,,,fruit consupmtion ,
?. associated vegetation,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
. . . Corbellino. (2012). Imported Loa loa filariasis,,ignore,,,,<- to be conservative
. assoc,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
. assoc.,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
. Assoc. sp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
. Assoc. species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,<- to be conservative
. assoc. spp,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,<- to be conservative
. associated plants,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,<- to be conservative
. associated species,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
. associated species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
. associates,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
. Host common name,,ignore,,,,Nardetalia stricta is a taxon name and I would interpret ast interactsWith Nardetalia stricta
... associated species include,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
...folios espinoses (higher,,ignore,,,,
''Calliaster baccatus'' oral surface File,,ignore,,,,
''Chromodoris annae''. Image,,ignore,,,,
''Oenothera glazioviana''   File,,ignore,,,,
“host”,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
“host”,,has host,http://purl.obolibrary.org/obo/RO_0002454,,,
“wet” herbaceous understory (in creek or on creek bank),,ignore,,,,
( on one side),,ignore,,,,
(After burn,,ignore,,,,
(After burn,,ignore,,,,collect on may indicationg a host?
(algue,,ignore,,,,
(ate),,eats,http://purl.obolibrary.org/obo/RO_0002470,,,
(collected with),,ignore,,,,
(depiction of),,ignore,,,,
(drainage,,ignore,,,,
(eaten by),,is eaten by,http://purl.obolibrary.org/obo/RO_0002471,,,
(Gunnerus),,ignore,,,,
(Gunnerus),,ignore,,,,
(hardwood forest,,ignore,,,,
(herbaceous taxa include,,ignore,,,,
(Home site,,ignore,,,,
(horticulture remnants,,ignore,,,,
(host of),,host of,http://purl.obolibrary.org/obo/RO_0002453,,,
(in amplexus with),,ignore,,,,
(littermate or nestmate of),,ignore,,,,
(mate of),,ignore,,,,
(mounted with),,ignore,,,,
(native taxa,,ignore,,,,
(offspring of),,ignore,,,,
(on the other side),,ignore,,,,
(overgrown with),,ignore,,,,
(parasite of),,parasite of,http://purl.obolibrary.org/obo/RO_0002444,,,
(parent of),,ignore,,,,
(Reduvidae,,ignore,,,,
(Reduvidae,,ignore,,,,
(same assemblage as),,ignore,,,,
(same collection as),,ignore,,,,
(same edition as),,ignore,,,,
(same individual as),,ignore,,,,"usally a behavior of birds for sexual exibition. Not sure if it is an interaction, but for sure it involves two or more individuals. See this beatiful performace of Altantic Forest birds:https://www.youtube.com/watch?v=zRkbwI8EM_w"
(same lot as),,ignore,,,,
(same series as),,ignore,,,,
(same set as),,ignore,,,,
(scraps,,ignore,,,,
(sibling of),,ignore,,,,
(South slope with,,ignore,,,,
(Syn.,,ignore,,,,
(synonym,,ignore,,,,
(todo). Nombre Siona,,ignore,,,,
(Within forest,,ignore,,,,
{associates with,,ecologically co-occurs with,http://purl.obolibrary.org/obo/RO_0008506,,,
{Horticultural name,,ignore,,,,
/eouphytic shrub 1 m,,ignore,,,,
& Artemisia tridentata. Post-fire,,ignore,,,,
& Fouquieria. Unusual species include,,ignore,,,,
& Fouquieria. Unusual species include,,ignore,,,,
& Hemlock. Assoc. species,,ignore,,,,
& native plants,,ignore,,,,
& Smilacina racemosa. PJ,,ignore,,,,
& Widiyatno. 2013. Dynamics of gall rust disease on sengon (Falcataria moluccana) in various agroforestry patterns. Procedia Environmental Sciences 17,,ignore,,,,
#9 TLC,,ignore,,,,
% Cover,,ignore,,,,
% Cover,,ignore,,,,
+ (N.B.,,ignore,,,,
+ P. Polydactyla. Vasc. plant assoc.,,ignore,,,,
+(N.B.,,ignore,,,,
+Allantoparmelia almquistii (trace,,ignore,,,,
+Allantoparmelia alpicola (méd.,,ignore,,,,
+Arthonia cf. byssacea ( Apothécies noires enfoncées à moins de 1 mm et 'oeufs blancs au centre,,ignore,,,,
+Bryoria cf. trichodes spp. trichodes ( méd. et cortex,,ignore,,,,
+Cladonia arbuscula subsp. mitis (Sandst.) Rouss  Syn.,,ignore,,,,
+Cladonia arbuscula subsp. mitis (Sandst.) Ruoss  Syn.,,ignore,,,,
+Collema subflaccidum/furfuraceum,,ignore,,,,
+Drepanocladus aduncus var. polycarpus det.,,ignore,,,,
+Gymnostomum boreale (base de la nervure,,ignore,,,,
+Lichen crustacé  noirâtre avec apothécies convexes (cf. Placynthiella det. Claude Roy,,ignore,,,,
+Ochrolechia frigida (coralloïde,,ignore,,,,
+Peltigera didactyla (soralies,,ignore,,,,
+Pertusaria ophtalmiza (Thalle et soralies,,ignore,,,,
+Rhizocarpon hochstetteri,,ignore,,,,
+Scapania hyperborea  det.,,ignore,,,,
<a href=http,,ignore,,,,
<p style=margin,,ignore,,,,
<p style=margin,,ignore,,,,
<p><em>Telothyria aidani </em><strong>sp. n.</strong> has been reared 11 times from two species of Lepidoptera in the family Crambidae,,ignore,,,,
<p>Associated fauna,,ignore,,,,
<p>Marsupial - nome vulgar,,ignore,,,,
<p>Marsupial - nome vulgar,,ignore,,,,
<p>Ordem,,ignore,,,,
<p>Ordem,,ignore,,,,
<p>Roedor silvetre - rato do arroz</p><p>Família Cricetidae</p><p>Tribo,,ignore,,,,
<p>Roedor silvetre - rato do arroz</p><p>Família Cricetidae</p><p>Tribo,,ignore,,,,
<p>The pollen collecting behavior and foraging activity of this solitary bee on <em>Salvia bogotensis </em>was studied by Gonzalez et al. (2006) in the Eastern Andes of Colombia. Bees foraged from 7,,ignore,,,,
<p>Víquez and Arms (2005),,ignore,,,,
= scaly rhizome) collected and cultivated at US as USBRG 02-194 US greenhouse USBRG accession number,,ignore,,,,
~50% vegetation cover dominated by dryas. Associates,,ignore,,,,
~50% vegetation cover dominated by dryas. Associates,,ignore,,,,
0.4 m tall. Corolla orange and hypocyrtoid. Label remarks,,ignore,,,,
0.5 - 1.0 m tall. Stems succulent. Rhizomes present. Corolla hypocyrtoid and bright orange. Label remarks,,ignore,,,,
0.60 m Abundancia,,ignore,,,,
000 per m².<br/><br/>Parasites The parasites of this species include at least 11 species of Trematoda.Larval Trematoda,,ignore,,,,
1,,ignore,,,,
1 m tall. Calyx green. Corolla orange and hypocyrtoid. Label remarks,,ignore,,,,
1 m tall. Calyx light green. Corolla tubular and uniformly white. Label remarks,,ignore,,,,
1 m tall. Calyx lobes maroon. Corolla light red. Flowers resupinate. Label remarks,,ignore,,,,
1 m tall. Flowers in axillary clusters. Calyx orange. Corolla orange and tubular. Label remarks,,ignore,,,,
1 m tall. Growing on rocks near edge of stream. Stem quadrangular and winged. Calyx green. Our remarks,,ignore,,,,
1 m tall. Inflorescence erect. Our remarks,,ignore,,,,
1 m tall. Stems and leaves with dark purple pilose pubescence. Calyx lobes orange. Corolla orangish-yellow. Label remarks,,ignore,,,,
1-1.5 m tall. Abaxial leaf surface green. Bracts red. Calyx red. Label remarks,,ignore,,,,
1-1.5 m tall. Calyx green. Corolla dark orange. Fruit an orange globose berry. Label remarks,,ignore,,,,
1-1.5 m tall. Corolla orange and tubular. Fruit a white berry. Label remarks,,ignore,,,,
1-1.5 m tall. Sterile. Our remarks,,ignore,,,,
1-2 m long. Bracts and calyx lobes orange. Corolla tubular and orange. Fruit an oblong or globose white berry (see photos of both shapes). Label remarks,,ignore,,,,
1-2 m tall. Calyx green. Corolla orange and hypocyrtoid. Fruit a purple oblong berry. Label remarks,,ignore,,,,
1-5%  Populus tremuloides (samplings) HERB,,ignore,,,,
1-5%  Populus tremuloides (samplings) HERB,,ignore,,,,
1.0 - 1.5 m tall. Flowers in congested axillary clusters below leaves. Calyx lobes greenish-pink. Corolla bright orange and tubular. Label remarks,,ignore,,,,
1.0-1.5 m tall. Abaxial leaf surface uniformly red. Calyx lobes red. Corolla yellow. Flowers resupinate. Label remarks,,ignore,,,,
1.0-1.5 m tall. Calyx lobes orange-red. Fruit a globose red berry. Label remarks,,ignore,,,,
1.0-1.5 m tall. Calyx lobes orangish-red. Corolla immature and yellowish-orange. Label remarks,,ignore,,,,
1.5 - 2 m tall. Abaxial leaf surface green with red venation. Flowers in axillary clusters (15+/axil). Calyx lobes pink. Label remarks,,ignore,,,,
1.5 m tall. Bracts light green. Calyx lobes white. Corolla tubular and red. Note,,ignore,,,,
1.5 m tall. Calyx green. Corolla bright orange and tubular. Label remarks,,ignore,,,,
1.5 m tall. Calyx green. Corolla tubular and orange. Label remarks,,ignore,,,,
1.5 m tall. Calyx lobes light green. Corolla orange and tubular. Label remarks,,ignore,,,,
1.5 m tall. Calyx lobes light green. Corolla orange. Fruit a red berry. Label remarks,,ignore,,,,
1.5 m tall. Calyx white. Fruit a white globose berry. Label remarks,,ignore,,,,
1.5 m tall. Flowers in axillary clusters below leaves. Peduncles absent. Corolla tubular and orange. Label remarks,,ignore,,,,
1.5 m tall. Flowers in axillary clusters. Calyx green. Corolla orange and tubular. Label remarks,,ignore,,,,
